	Base	HostnameLookups	KeepAlive	EnableSendfile	FollowSymLinks	AccessLog	ExtendedStatus	InMemory	Handle	measured_value
0	1	0	0	0	0	0	0	0	0	1200
1	1	0	1	0	1	0	0	0	0	2100
2	1	0	1	1	0	0	1	1	0	2310
3	1	0	0	1	0	1	0	1	0	1260
4	1	0	0	1	0	1	1	1	0	1140
5	1	0	1	1	0	1	0	1	0	2100
6	1	0	1	1	0	1	1	1	0	1980
7	1	1	0	1	0	0	0	1	0	1110
8	1	1	1	1	0	0	0	1	0	2160
9	1	1	0	1	0	1	0	1	0	990
10	1	1	1	1	0	1	0	1	0	1890
11	1	1	0	1	0	0	1	1	0	1020
12	1	0	0	0	1	1	0	0	0	1020
13	1	1	0	1	0	1	1	1	0	960
14	1	1	1	1	0	0	1	1	0	2160
15	1	1	1	1	0	1	1	1	0	1860
16	1	0	0	1	1	0	0	1	0	1470
17	1	0	1	1	1	0	0	1	0	2640
18	1	0	0	1	1	0	1	1	0	1380
19	1	0	1	1	1	0	1	1	0	2430
20	1	1	0	1	1	0	0	1	0	1140
21	1	1	0	1	1	0	1	1	0	1080
22	1	1	1	1	1	0	0	1	0	2340
23	1	0	1	0	1	1	0	0	0	1830
24	1	1	1	1	1	0	1	1	0	2190
25	1	0	0	1	1	1	0	1	0	1260
26	1	0	1	1	1	1	0	1	0	2190
27	1	1	0	1	1	1	0	1	0	1020
28	1	1	1	1	1	1	0	1	0	2100
29	1	0	0	1	1	1	1	1	0	1230
30	1	1	0	1	1	1	1	1	0	990
31	1	0	1	1	1	1	1	1	0	2070
32	1	1	1	1	1	1	1	1	0	1860
33	1	0	0	0	0	0	0	0	1	1230
34	1	0	0	0	1	0	1	0	0	1140
35	1	0	0	0	0	0	1	0	1	1080
36	1	0	0	0	0	1	0	0	1	1050
37	1	0	0	0	0	1	1	0	1	1080
38	1	0	0	0	1	0	0	0	1	1260
39	1	0	0	0	1	1	0	0	1	1200
40	1	0	0	0	1	0	1	0	1	1200
41	1	0	0	0	1	1	1	0	1	1050
42	1	0	0	1	0	0	0	0	1	1200
43	1	0	0	1	0	0	1	0	1	1140
44	1	0	0	1	1	0	0	0	1	1200
45	1	0	0	0	1	1	1	0	0	990
46	1	0	0	1	1	0	1	0	1	1230
47	1	0	0	1	0	1	0	0	1	1110
48	1	0	0	1	1	1	0	0	1	1140
49	1	0	0	1	0	1	1	0	1	1050
50	1	0	0	1	1	1	1	0	1	1110
51	1	0	1	0	0	0	0	0	1	1200
52	1	0	1	0	0	0	1	0	1	1350
53	1	0	1	0	0	1	0	0	1	1230
54	1	0	1	0	0	1	1	0	1	1260
55	1	0	1	1	0	0	0	0	1	1290
56	1	0	1	0	1	0	1	0	0	1950
57	1	0	1	1	0	1	0	0	1	1020
58	1	0	1	1	0	0	1	0	1	1320
59	1	0	1	1	0	1	1	0	1	1230
60	1	0	1	0	1	0	0	0	1	1380
61	1	0	1	0	1	0	1	0	1	1110
62	1	0	1	1	1	0	0	0	1	1200
63	1	0	1	1	1	0	1	0	1	1110
64	1	0	1	0	1	1	0	0	1	1350
65	1	0	1	1	1	1	0	0	1	1200
66	1	0	1	0	1	1	1	0	1	1230
67	1	0	1	0	1	1	1	0	0	1740
68	1	0	1	1	1	1	1	0	1	1170
69	1	1	0	0	0	0	0	0	1	990
70	1	1	0	0	0	0	1	0	1	960
71	1	1	0	0	0	1	0	0	1	930
72	1	1	0	0	0	1	1	0	1	870
73	1	1	0	0	1	0	0	0	1	1020
74	1	1	0	0	1	1	0	0	1	930
75	1	1	0	0	1	0	1	0	1	960
76	1	1	0	0	1	1	1	0	1	900
77	1	1	1	0	0	0	0	0	1	1140
78	1	0	0	1	0	0	0	0	0	1320
79	1	1	1	0	0	0	1	0	1	1020
80	1	1	1	0	1	0	0	0	1	1320
81	1	1	1	0	1	0	1	0	1	1170
82	1	1	1	0	0	1	0	0	1	1200
83	1	1	1	0	1	1	0	0	1	1080
84	1	1	1	0	0	1	1	0	1	1140
85	1	1	1	0	1	1	1	0	1	1500
86	1	1	0	1	0	0	0	0	1	990
87	1	1	0	1	0	0	1	0	1	960
88	1	1	0	1	0	1	0	0	1	930
89	1	0	1	1	0	0	0	0	0	2220
90	1	1	0	1	0	1	1	0	1	870
91	1	1	1	1	0	0	0	0	1	1170
92	1	1	1	1	0	1	0	0	1	1080
93	1	1	1	1	0	0	1	0	1	1170
94	1	1	1	1	0	1	1	0	1	1470
95	1	1	0	1	1	0	0	0	1	1050
96	1	1	0	1	1	0	1	0	1	990
97	1	1	1	1	1	0	0	0	1	1050
98	1	1	1	1	1	0	1	0	1	1200
99	1	1	0	1	1	1	0	0	1	930
100	1	0	0	1	0	0	1	0	0	1230
101	1	1	1	1	1	1	0	0	1	1170
102	1	1	0	1	1	1	1	0	1	870
103	1	1	1	1	1	1	1	0	1	870
104	1	0	1	0	0	0	0	0	0	2040
105	1	0	1	1	0	0	1	0	0	2130
106	1	0	0	1	1	0	0	0	0	1350
107	1	0	0	1	1	0	1	0	0	1170
108	1	0	1	1	1	0	0	0	0	2370
109	1	0	1	1	1	0	1	0	0	2190
110	1	0	0	1	0	1	0	0	0	1170
111	1	0	1	1	0	1	0	0	0	1980
112	1	0	0	1	1	1	0	0	0	1200
113	1	0	1	1	1	1	0	0	0	2040
114	1	0	0	1	0	1	1	0	0	1080
115	1	0	0	0	0	0	1	0	0	1110
116	1	0	0	1	1	1	1	0	0	1110
117	1	0	1	1	0	1	1	0	0	1830
118	1	0	1	1	1	1	1	0	0	1890
119	1	1	0	0	0	0	0	0	0	990
120	1	1	1	0	0	0	0	0	0	1950
121	1	1	0	0	0	0	1	0	0	900
122	1	1	1	0	0	0	1	0	0	1830
123	1	1	0	0	0	1	0	0	0	900
124	1	1	0	0	0	1	1	0	0	840
125	1	1	1	0	0	1	0	0	0	1710
126	1	0	1	0	0	0	1	0	0	1920
127	1	1	1	0	0	1	1	0	0	1620
128	1	1	0	1	0	0	0	0	0	1050
129	1	1	1	1	0	0	0	0	0	2130
130	1	1	0	1	0	1	0	0	0	930
131	1	1	1	1	0	1	0	0	0	1890
132	1	1	0	1	0	0	1	0	0	960
133	1	1	0	1	0	1	1	0	0	900
134	1	1	1	1	0	0	1	0	0	2010
135	1	1	1	1	0	1	1	0	0	1770
136	1	1	0	0	1	0	0	0	0	960
137	1	0	0	0	0	1	0	0	0	1080
138	1	1	1	0	1	0	0	0	0	1950
139	1	1	0	0	1	0	1	0	0	930
140	1	1	1	0	1	0	1	0	0	1890
141	1	1	0	1	1	0	0	0	0	1080
142	1	1	0	1	1	0	1	0	0	990
143	1	1	1	1	1	0	0	0	0	2220
144	1	1	1	1	1	0	1	0	0	2070
145	1	1	0	0	1	1	0	0	0	900
146	1	1	1	0	1	1	0	0	0	1770
147	1	1	0	1	1	1	0	0	0	960
148	1	0	0	0	0	1	1	0	0	1020
149	1	1	1	1	1	1	0	0	0	1920
150	1	1	0	0	1	1	1	0	0	840
151	1	1	0	1	1	1	1	0	0	900
152	1	1	1	0	1	1	1	0	0	1680
153	1	1	1	1	1	1	1	0	0	1800
154	1	0	0	0	0	0	0	1	0	1410
155	1	0	1	0	0	0	0	1	0	2490
156	1	0	0	0	0	0	1	1	0	1290
157	1	0	1	0	0	0	1	1	0	2250
158	1	0	0	0	0	1	0	1	0	1260
159	1	0	1	0	0	1	0	0	0	1770
160	1	0	0	0	0	1	1	1	0	1140
161	1	0	1	0	0	1	0	1	0	2130
162	1	0	1	0	0	1	1	1	0	1980
163	1	0	0	0	1	0	0	1	0	1410
164	1	0	1	0	1	0	0	1	0	2400
165	1	0	0	0	1	1	0	1	0	1320
166	1	0	1	0	1	1	0	1	0	2190
167	1	0	0	0	1	0	1	1	0	1380
168	1	0	0	0	1	1	1	1	0	1230
169	1	0	1	0	1	0	1	1	0	2430
170	1	0	1	0	0	1	1	0	0	1680
171	1	0	1	0	1	1	1	1	0	2100
172	1	1	0	0	0	0	0	1	0	1110
173	1	1	1	0	0	0	0	1	0	2280
174	1	1	0	0	0	0	1	1	0	1020
175	1	1	1	0	0	0	1	1	0	2160
176	1	1	0	0	1	0	0	1	0	1140
177	1	1	0	0	1	0	1	1	0	1050
178	1	1	1	0	1	0	0	1	0	2280
179	1	1	1	0	1	0	1	1	0	2190
180	1	1	0	0	0	1	0	1	0	1020
181	1	0	0	0	1	0	0	0	0	1200
182	1	1	1	0	0	1	0	1	0	1980
183	1	1	0	0	1	1	0	1	0	1020
184	1	1	1	0	1	1	0	1	0	2070
185	1	1	0	0	0	1	1	1	0	930
186	1	1	0	0	1	1	1	1	0	960
187	1	1	1	0	0	1	1	1	0	1860
188	1	1	1	0	1	1	1	1	0	1920
189	1	0	0	1	0	0	0	1	0	1410
190	1	0	1	1	0	0	0	1	0	2460
191	1	0	0	1	0	0	1	1	0	1320
