	HAVE_CRYPTO	HAVE_HASH	HAVE_REPLICATION	HAVE_VERIFY	HAVE_SEQUENCE	HAVE_STATISTICS	DIAGNOSTIC	PAGESIZE	PS1K	PS4K	PS8K	PS16K	PS32K	CACHESIZE	CS32MB	CS16MB	CS64MB	CS512MB	measured_value
0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0,502896333333333
1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0,568212307692308
2	1	0	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	3,26764964102564
3	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0,53944458974359
4	1	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	6,51271964102564
5	1	1	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	5,85660738461539
6	1	0	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	6,50929243589744
7	1	1	0	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	5,870778
8	1	0	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	6,53109484615385
9	1	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	6,51166176923077
10	1	1	1	0	1	0	1	1	0	1	0	0	0	1	1	0	0	0	5,87087387179487
11	1	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	5,84491694871795
12	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,467633153846154
13	0	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0,374817641025641
14	0	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,526568538461538
15	0	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,474230538461539
16	0	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,533739923076923
17	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	6,54155320512821
18	1	0	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	6,55013617948718
19	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	5,86363853846154
20	1	1	1	0	1	1	1	1	0	1	0	0	0	1	1	0	0	0	5,8616597368421
21	0	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,478926921052632
22	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,528323051282051
23	1	0	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	6,52198284615385
24	1	1	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	2,03291538461538
25	1	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	5,85854202564103
26	0	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,478703692307692
27	1	0	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	6,53009856410256
28	0	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	0,53221558974359
29	1	1	1	1	1	1	1	1	0	1	0	0	0	1	1	0	0	0	5,84551712820513
30	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,478544333333333
31	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7562264102564
32	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,75464147368421
33	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,9212162307692
34	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,501547205128205
35	0	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	0,386080631578947
36	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,751386666666667
37	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7736278974359
38	1	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,9093499487179
39	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,510615487179487
40	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7249887435897
41	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,499134230769231
42	1	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,7364329230769
43	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,756163307692308
44	0	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0,74202382051282
45	1	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,9029474473684
46	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	0	0	0	2,08431376923077
47	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	1	10,9054147631579
48	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,502242282051282
49	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,7314186410256
50	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,734729461538462
51	1	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,8926092820513
52	0	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,501298128205128
53	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,741280897435897
54	1	0	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,7425747692308
55	1	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,91743365
56	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,503099025641026
57	0	0	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0,526405769230769
58	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,7292004358974
59	0	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,497255897435897
60	1	0	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,7241724210526
61	0	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,747503102564103
62	0	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	0,747416210526316
63	1	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,9249083947368
64	1	1	1	1	0	1	0	1	0	0	1	0	0	1	0	0	0	1	10,9099363421053
65	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,508516763157895
66	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7475049230769
67	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,772647
68	0	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0,577441076923077
69	1	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,943653
70	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,510209459459459
71	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,771137871794872
72	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7449976052632
73	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,9276094102564
74	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,512415421052632
75	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,7029561315789
76	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,517968473684211
77	1	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,7099706923077
78	0	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,750785794871795
79	0	1	0	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0,376276605263158
80	0	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,76255841025641
81	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,9009974736842
82	1	1	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,9158494102564
83	0	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,520309923076923
84	1	0	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7397864102564
85	0	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,771518435897436
86	1	1	0	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,93962545
87	0	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,520164128205128
88	0	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,756900763157895
89	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,7072054615385
90	0	1	0	1	1	1	1	1	1	0	0	0	0	1	1	0	0	0	0,389726868421053
91	1	1	0	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,9192320263158
92	0	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0,525368513513513
93	1	0	1	1	0	0	1	1	0	0	1	0	0	1	0	0	0	1	10,7362442564103
94	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	0,523887282051282
95	1	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	1	10,7516961794872
