	Base	Persistence	IO	OldIO	NewIO	NIOBase	NIOType	ChunkedNIO	SingleWriteNIO	DirectNIO	LogSize	S100MiB	S1MiB	Checksum	BTreeFeatures	INCompressor	IEvictor	Evictor	Critical_Eviction	Verifier	ITracing	Tracing	TracingLevel	Severe	Finest	Statistics	measured_value
0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	3451
1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	3138
2	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	3314
3	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	3398
4	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	3269
5	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	3333
6	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	5231
7	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	5289
8	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	5235
9	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	5304
10	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5241
11	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	5338
12	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	3269
13	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	3139
14	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	3264
15	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	3153
16	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	3161
17	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	3512
18	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	5228
19	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	5328
20	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	5220
21	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	5310
22	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	5309
23	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	5328
24	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	14638
25	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	14761
26	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	14562
27	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	14786
28	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	14580
29	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	14905
30	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	4714
31	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	4881
32	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	4768
33	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	4879
34	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	4787
35	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	4903
36	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	3182
37	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	3232
38	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	3299
39	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	3428
40	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	3268
41	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	3412
42	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	3089
43	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	3605
44	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	3271
45	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	3341
46	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	3053
47	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	3429
48	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	5194
49	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	5350
50	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	5463
51	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	5468
52	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	5231
53	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	5432
54	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	5308
55	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	5515
56	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5263
57	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	5316
58	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5435
59	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	5494
60	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	5207
61	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	5365
62	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	5295
63	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	5486
64	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	5256
65	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	5449
66	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	5328
67	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	5510
68	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5235
69	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	5387
70	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	5421
71	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	5502
72	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	3249
73	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	0	3065
74	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	3177
75	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	3235
76	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	3263
77	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	3143
78	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	3085
79	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	3058
80	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	3216
81	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	0	3336
82	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	3347
83	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	3517
84	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	5216
85	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	5361
86	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	5356
87	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	5462
88	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	5233
89	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	5343
90	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	5390
91	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	5548
92	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	5274
93	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	5419
94	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	5314
95	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	5508
96	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	2986
97	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	3155
98	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	3171
99	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	3325
100	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	3157
101	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	2960
102	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	3154
103	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	3424
104	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	3195
105	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	3258
106	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	3155
107	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	3457
108	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	3165
109	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	3106
110	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	0	3161
111	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	0	1	3303
112	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	3178
113	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	0	3127
114	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	3185
115	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	3167
116	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	3532
117	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	3238
118	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	3358
119	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	3230
120	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	5186
121	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	0	5354
122	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	5342
123	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	5499
124	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	5230
125	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	5465
126	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	5314
127	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	5457
128	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	5241
129	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	5339
130	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	5420
131	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	5467
132	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	14685
133	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	16342
134	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	14744
135	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	16479
136	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	14594
137	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	14694
138	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	16351
139	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	16440
140	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	14785
141	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	16399
142	1	1	1	0	1	1	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	14656
143	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	16448
144	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	14653
145	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	14852
146	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	0	16427
147	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	16446
148	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	14627
149	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	14710
150	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	16401
151	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	16531
152	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	14667
153	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	16392
154	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	14727
155	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	16442
156	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	4705
157	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	4894
158	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	4951
159	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	5045
160	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	4759
161	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	4920
162	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	4915
163	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	5048
164	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	4668
165	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	4897
166	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	4957
167	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	5091
168	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	4669
169	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	0	4898
170	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	4907
171	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	0	1	1	5044
172	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	4698
173	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	4943
174	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	4913
175	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	5090
176	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	4792
177	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	4880
178	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	4953
179	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	5062
