	no_asm	no_8x8dct	no_cabac	no_deblock	no_fast_pskip	no_mbtree	no_mixed_refs	no_weightb	rc_lookahead	rc_lookahead_20	rc_lookahead_40	rc_lookahead_60	ref	ref_1	ref_5	ref_9	measured_value
0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	643.97
1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	643.97
2	1	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	643.97
3	1	1	1	0	1	1	0	1	1	0	0	1	1	0	0	1	643.97
4	1	1	0	1	0	1	0	0	1	0	0	1	1	0	0	1	643.97
5	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	1	643.97
6	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	1	643.97
7	1	1	0	1	1	1	0	1	1	0	0	1	1	0	0	1	643.97
8	1	1	1	1	0	1	0	0	1	0	0	1	1	0	0	1	643.97
9	1	1	1	1	0	1	0	1	1	0	0	1	1	0	0	1	643.97
10	1	1	1	1	1	1	0	0	1	0	0	1	1	0	0	1	643.97
11	1	1	1	1	1	1	0	1	1	0	0	1	1	0	0	1	643.97
12	1	1	0	0	0	1	1	0	1	0	0	1	1	0	0	1	643.97
13	1	1	1	0	0	0	1	0	1	1	0	0	1	1	0	0	643.97
14	1	1	0	0	1	1	1	0	1	0	0	1	1	0	0	1	643.97
15	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	643.97
16	1	1	1	0	1	1	1	0	1	0	0	1	1	0	0	1	643.97
17	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	1	643.97
18	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	1	643.97
19	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	643.97
20	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	643.97
21	1	1	0	0	0	1	1	1	1	0	0	1	1	0	0	1	643.97
22	1	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	643.97
23	1	1	0	1	0	1	1	1	1	0	0	1	1	0	0	1	643.97
24	1	1	1	0	1	0	1	0	1	1	0	0	1	1	0	0	643.97
25	1	1	0	1	1	1	1	1	1	0	0	1	1	0	0	1	643.97
26	1	1	1	0	0	1	1	1	1	0	0	1	1	0	0	1	643.97
27	1	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	643.97
28	1	1	1	0	1	1	1	1	1	0	0	1	1	0	0	1	643.97
29	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	643.97
30	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	643.97
31	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	643.97
32	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	1	643.97
33	1	0	1	0	0	0	0	1	1	0	1	0	1	0	0	1	643.97
34	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	643.97
35	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0	0	643.97
36	1	0	0	0	0	0	1	1	1	0	1	0	1	0	0	1	643.97
37	1	0	1	0	0	0	1	0	1	0	1	0	1	0	0	1	643.97
38	1	0	1	0	0	0	1	1	1	0	1	0	1	0	0	1	643.97
39	1	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	643.97
40	1	0	1	0	0	1	0	0	1	0	1	0	1	0	0	1	643.97
41	1	0	0	0	0	1	1	0	1	0	1	0	1	0	0	1	643.97
